"","Embryo","RNAiSimple","StageSimple","TimeMin","NumParticleFrameNormAreaPAratio"
"192","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",15.5,0.338304675515867
"193","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",16,0.335200962896455
"194","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",16.5,0.35659141473294
"195","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",17,0.389654492335239
"196","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",17.5,0.402308262775625
"197","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",18,0.414790949980323
"198","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",18.5,0.449077002897168
"199","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",19,0.43372394296906
"200","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",19.5,0.448253695058523
"201","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",20,0.464452181640427
"202","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",20.5,0.471845994798445
"203","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",21,0.476568325509308
"204","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",21.5,0.498707754424251
"205","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",22,0.494219004231875
"206","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",22.5,0.516206272123348
"207","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",23,0.515914630161696
"208","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",23.5,0.499138045843082
"209","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",24,0.48208416261011
"210","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",24.5,0.499402140047231
"211","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",25,0.5074570132738
"212","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",25.5,0.531621632953504
"213","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",26,0.552839347794221
"214","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",26.5,0.561977188253629
"215","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",27,0.571422183014195
"216","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",27.5,0.577451084070186
"217","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",28,0.600123076567276
"218","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",28.5,0.623192823318701
"219","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",29,0.691986836282454
"220","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",29.5,0.628707804056035
"221","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",30,0.649901087175217
"222","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",30.5,0.638695896017024
"223","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",31,0.679476339807291
"224","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",31.5,0.712956134351619
"225","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",32,0.741995968988581
"226","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",32.5,0.698793264180314
"227","03Jul22_kk1216_cdc42RNAi_48h_CH10_centration_05","cdc42","late maint.",33,0.748707068764623
